"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "Vue", "SVG", "comment", "blank", "total"
"/home/tautvydas/MyProjects/Bakis/server/src/models/clients.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 2, 78
"/home/tautvydas/MyProjects/Bakis/server/src/models/events.js", "JavaScript", 0, 0, 0, 49, 0, 0, 5, 2, 56
"/home/tautvydas/MyProjects/Bakis/server/src/models/exercises.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 2, 53
"/home/tautvydas/MyProjects/Bakis/server/src/models/foodLogs.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"/home/tautvydas/MyProjects/Bakis/server/src/models/index.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 2, 22
"/home/tautvydas/MyProjects/Bakis/server/src/models/messages.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"/home/tautvydas/MyProjects/Bakis/server/src/models/rooms.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 2, 11
"/home/tautvydas/MyProjects/Bakis/server/src/models/waterLogs.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 2, 23
"/home/tautvydas/MyProjects/Bakis/server/src/models/weightLogs.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 2, 28
"/home/tautvydas/MyProjects/Bakis/server/src/models/workoutExercise.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 2, 28
"/home/tautvydas/MyProjects/Bakis/server/src/models/workouts.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 2, 28
"/home/tautvydas/MyProjects/Bakis/server/src/routes.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 2, 28
"/home/tautvydas/MyProjects/Bakis/server/src/routes/api.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 4, 19
"/home/tautvydas/MyProjects/Bakis/server/src/routes/clients.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 5, 27
"/home/tautvydas/MyProjects/Bakis/server/src/routes/coaches.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 4, 26
"/home/tautvydas/MyProjects/Bakis/server/src/routes/events.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 5, 20
"/home/tautvydas/MyProjects/Bakis/server/src/routes/exercises.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 6, 24
"/home/tautvydas/MyProjects/Bakis/server/src/routes/fitbit.js", "JavaScript", 0, 0, 0, 23, 0, 0, 4, 6, 33
"/home/tautvydas/MyProjects/Bakis/server/src/routes/messages.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 4, 12
"/home/tautvydas/MyProjects/Bakis/server/src/routes/rooms.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 5, 20
"/home/tautvydas/MyProjects/Bakis/server/src/routes/statistics.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 4, 9
"/home/tautvydas/MyProjects/Bakis/server/src/routes/waterLogs.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 5, 20
"/home/tautvydas/MyProjects/Bakis/server/src/routes/weightLogs.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 5, 20
"/home/tautvydas/MyProjects/Bakis/server/src/routes/wger.js", "JavaScript", 0, 0, 0, 16, 0, 0, 20, 5, 41
"/home/tautvydas/MyProjects/Bakis/server/src/routes/workouts.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 5, 20
"/home/tautvydas/MyProjects/Bakis/server/src/server.js", "JavaScript", 0, 0, 0, 67, 0, 0, 11, 9, 87
"/home/tautvydas/MyProjects/Bakis/server/tests/unit/controllers/events.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 2, 14
"/home/tautvydas/MyProjects/Bakis/server/tests/unit/test.spec.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"Total", "-", 59714, 27, 18, 3122, 4916, 7, 545, 446, 68795
