"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Vue", "SVG", "Markdown", "HTML", "CSS", "JavaScript React", "comment", "blank", "total"
"/home/tautvydas/MyProjects/Bakis/server/package.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/home/tautvydas/MyProjects/Bakis/server/src/app.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 76
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/api.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 102
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/clients.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/events.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 130
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/exercises.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 132
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/helper.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/statistics.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 89
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/waterLogs.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 111
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/weightLogs.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 114
"/home/tautvydas/MyProjects/Bakis/server/src/db.js", "JavaScript", 308, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 331
"/home/tautvydas/MyProjects/Bakis/server/src/models/clients.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"/home/tautvydas/MyProjects/Bakis/server/src/models/events.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 56
"/home/tautvydas/MyProjects/Bakis/server/src/models/exercises.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 61
"/home/tautvydas/MyProjects/Bakis/server/src/models/foodLogs.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/tautvydas/MyProjects/Bakis/server/src/models/index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
